Customer_ID,Name,Age,Income,Credit_Score,Employment_Status,Marital_Status,Date_Joined,State,Debt_to_Income_Ratio
8,Charlie Davis,68,58737,845,Employed,Married,2019-04-27,FL,0.16
408,John Doe,25,51812,845,Self-Employed,Married,2025-01-25,FL,0.13
430,Alice Brown,33,195172,845,Self-Employed,Widowed,2023-03-22,CA,0.31
629,Alice Brown,44,115219,845,Retired,Divorced,2022-08-27,TX,0.53
1666,Jane Smith,63,155599,845,Unemployed,Married,2019-05-27,TX,0.31
3051,Bob Johnson,26,147104,845,Employed,Widowed,2019-06-29,TX,0.12
3203,John Doe,36,46568,845,Employed,Divorced,2020-08-24,TX,0.45
3405,Bob Johnson,54,185775,845,Employed,Single,2020-11-09,NY,0.6
5071,Charlie Davis,63,48876,845,Employed,Widowed,2019-03-06,IL,0.5
6951,Bob Johnson,38,92758,845,Employed,Married,2021-05-03,CA,0.43
7445,Alice Brown,51,88645,845,Self-Employed,Widowed,2019-08-13,NY,0.19
7459,Bob Johnson,26,79293,845,Employed,Widowed,2020-04-08,CA,0.45
7810,Jane Smith,48,88224,845,Unemployed,Widowed,2024-09-30,IL,0.37
7907,Charlie Davis,38,109948,845,Self-Employed,Divorced,2019-04-20,FL,0.5
8155,Bob Johnson,29,33524,845,Self-Employed,Single,2022-09-05,CA,0.4
8456,John Doe,55,36311,845,Employed,Divorced,2024-05-28,NY,0.29
8966,John Doe,55,183013,845,Unemployed,Divorced,2021-06-15,NY,0.18
10281,John Doe,46,134951,845,Retired,Divorced,2020-07-31,TX,0.41
10319,Alice Brown,57,49647,845,Retired,Divorced,2024-10-26,TX,0.28
11106,John Doe,53,69237,845,Unemployed,Married,2022-02-02,NY,0.36
11678,Charlie Davis,61,92884,845,Employed,Widowed,2020-08-31,NY,0.29
11687,Alice Brown,56,138590,845,Unemployed,Married,2022-04-02,CA,0.39
11858,John Doe,39,175818,845,Employed,Married,2020-05-13,IL,0.14
13105,Alice Brown,30,85912,845,Self-Employed,Married,2024-12-20,TX,0.29
13963,Bob Johnson,61,192929,845,Self-Employed,Single,2020-09-26,IL,0.13
14443,Jane Smith,32,138255,845,Employed,Married,2021-04-26,TX,0.38
15770,Bob Johnson,47,87406,845,Employed,Single,2022-02-18,TX,0.5
16122,Alice Brown,66,,845,Self-Employed,Widowed,2020-01-09,IL,0.57
16229,John Doe,38,149517,845,Employed,Divorced,2025-01-31,TX,0.15
17114,Jane Smith,44,,845,Unemployed,Married,2024-12-26,FL,0.3
17669,Charlie Davis,34,45252,845,Retired,Single,2024-04-30,TX,0.41
18046,Charlie Davis,57,113703,845,Employed,Divorced,2022-09-23,FL,0.44
19162,Charlie Davis,50,147379,845,Employed,Widowed,2023-02-26,IL,0.39
20474,Jane Smith,38,136407,845,Self-Employed,Divorced,2025-02-14,IL,0.59
20762,Bob Johnson,52,195110,845,Self-Employed,Single,2022-04-11,TX,0.13
21772,John Doe,64,81252,845,Unemployed,Single,2024-07-02,FL,0.6
22195,Charlie Davis,30,196498,845,Employed,Widowed,2023-05-01,FL,0.13
22803,Jane Smith,55,96524,845,Retired,Widowed,2021-11-05,NY,0.19
23836,Charlie Davis,27,103005,845,Self-Employed,Widowed,2024-02-27,NY,0.19
24003,Charlie Davis,61,114194,845,Employed,Married,2023-10-21,CA,0.39
24131,Jane Smith,59,,845,Employed,Divorced,2019-04-16,NY,0.12
24550,Jane Smith,52,95547,845,Unemployed,Married,2023-05-14,CA,0.3
25010,Jane Smith,56,157273,845,Retired,Divorced,2019-08-19,NY,0.47
26073,Alice Brown,39,188830,845,Employed,Divorced,2022-09-14,FL,0.58
26221,Charlie Davis,50,53180,845,Employed,Divorced,2022-06-23,TX,0.37
27165,Alice Brown,60,41588,845,Self-Employed,Divorced,2023-09-08,NY,0.48
28102,John Doe,26,160059,845,Self-Employed,Divorced,2019-07-20,FL,0.33
28253,Bob Johnson,58,35890,845,Self-Employed,Divorced,2022-10-08,FL,0.26
29345,Bob Johnson,59,178191,845,Retired,Widowed,2023-09-12,TX,0.27
30521,Alice Brown,36,112769,845,Self-Employed,Widowed,2019-05-29,FL,0.22
30649,Bob Johnson,37,111596,845,Employed,Single,2019-02-01,TX,0.4
31044,Charlie Davis,57,174419,845,Retired,Single,2020-08-31,FL,0.12
31398,Jane Smith,26,76215,845,Unemployed,Married,2023-11-17,FL,0.21
31589,Alice Brown,46,118506,845,Retired,Widowed,2022-09-21,CA,0.52
32267,Alice Brown,62,48126,845,Employed,Widowed,2022-09-25,IL,0.23
32541,John Doe,46,95406,845,Self-Employed,Married,2024-06-25,TX,0.34
32844,Bob Johnson,48,,845,Self-Employed,Divorced,2023-09-14,FL,0.55
32852,Charlie Davis,52,138884,845,Retired,Married,2019-01-19,FL,0.46
33533,Charlie Davis,56,105197,845,Employed,Divorced,2020-04-11,TX,0.13
33810,Charlie Davis,54,89895,845,Employed,Widowed,2020-12-20,FL,0.52
34248,John Doe,54,160829,845,Employed,Widowed,2024-06-07,FL,0.33
34767,Charlie Davis,42,192832,845,Employed,Married,2021-07-08,TX,0.52
35320,Alice Brown,49,188029,845,Self-Employed,Single,2019-06-12,TX,0.38
36442,Jane Smith,63,112727,845,Employed,Married,2022-09-29,TX,0.15
37065,Charlie Davis,65,36729,845,Employed,Single,2020-12-25,FL,0.14
37455,Alice Brown,52,155702,845,Employed,Single,2020-10-10,TX,0.58
37747,Bob Johnson,44,104399,845,Retired,Widowed,2021-08-05,CA,0.15
37841,Jane Smith,49,180213,845,Self-Employed,Married,2024-08-17,FL,0.53
38994,Bob Johnson,36,86026,845,Employed,Divorced,2022-07-02,IL,0.41
39407,John Doe,38,50380,845,Retired,Divorced,2024-02-18,CA,0.13
39450,Charlie Davis,32,157207,845,Employed,Divorced,2024-01-20,FL,0.18
39836,Bob Johnson,62,150283,845,Employed,Widowed,2021-10-12,IL,0.48
40188,Alice Brown,60,129813,845,Employed,Single,2024-01-02,NY,0.45
40224,John Doe,33,62353,845,Retired,Married,2021-04-27,TX,0.36
42184,John Doe,56,156942,845,Retired,Divorced,2023-12-05,TX,0.16
