Property_ID,Customer_ID,Address,City,State,ZIP_Code,Property_Type,Year_Built,Square_Feet,Market_Value
31526,1,101 Maple Ln,Los Angeles,CA,75780,Condo,2013,3485,672560
40218,2,789 Pine Dr,New York,NY,49960,#&Townhouse@!,1952,2422,605105
25142,3,456 Oak Ave,Chicago,IL,89488,#Single-Family,2014,3059,554373
3234,4,789 Pine Dr,New York,NY,19829,Townhouse,2020,4688,307592
32530,5,101 Maple Ln,Miami,FL,58477,!#Single-Family,1955,923,344792
13138,6,202 Birch Blvd,Chicago,IL,58375,Townhouse,1971,2913,817201
22818,7,789 Pine Dr,New York,NY,48641,Condo,1996,1654,347601
5840,8,202 Birch Blvd,Miami,FL,53138,Condo,2012,1884,101294
13612,9,202 Birch Blvd,San Jose,CA,54050,Single-Family,1958,2852,428765
37252,10,123 Main St,New York,NY,87872,Condo,1971,2492,789795
31814,11,123 Main St,Texas,TX,25227,Multi-Family,1976,2081,336451
2645,12,202 Birch Blvd,Houston,TX,29232,Multi-Family,1956,2184,554728
14200,13,101 Maple Ln,Chicago,IL,40203,Multi-Family,1974,3290,686782
20872,14,456 Oak Ave,New York,NY,39770,Single-Family,1982,3833,657337
36797,15,101 Maple Ln,New York,NY,27610,Townhouse,1978,1716,572823
21109,16,101 Maple Ln,Dallas,TX,85850,Condo,1957,4461,386248
7566,17,101 Maple Ln,Houston,TX,61118,Multi-Family,2012,3375,476758
36075,18,202 Birch Blvd,Los Angeles,CA,50144,Multi-Family,2001,4900,680959
17707,19,202 Birch Blvd,Miami,FL,82720,Single-Family,1950,1922,540748
27381,20,789 Pine Dr,New York,NY,71588,Multi-Family,2013,1071,544837
29302,21,202 Birch Blvd,New York,NY,95621,Multi-Family,2016,1757,542911
37311,22,101 Maple Ln,Los Angeles,CA,78939,Condo,1983,2549,367872
37850,23,123 Main St,Miami,FL,18868,Townhouse,1956,4371,895498
4352,24,101 Maple Ln,Chicago,IL,63617,Condo,2009,2174,592766
29604,25,101 Maple Ln,Los Angeles,CA,86043,Condo,1978,4305,795973
22572,26,101 Maple Ln,Miami,FL,60067,Condo,2018,2856,579982
11136,27,456 Oak Ave,Miami,FL,38300,Single-Family,1968,1359,828825
751,28,456 Oak Ave,Los Angeles,CA,82897,Condo,1966,4291,890578
43734,29,456 Oak Ave,Chicago,IL,37738,Multi-Family,2020,1689,193026
317,30,456 Oak Ave,Los Angeles,CA,26444,Multi-Family,1955,2540,687198
3581,31,202 Birch Blvd,Los Angeles,CA,43200,Single-Family,2019,2740,754067
19710,32,456 Oak Ave,San Diego,CA,22069,Townhouse,1950,3223,118042
42917,33,789 Pine Dr,Miami,FL,40480,Multi-Family,1963,2010,345364
37656,34,123 Main St,Miami,FL,72754,Townhouse,1992,3875,436836
18646,35,789 Pine Dr,Miami,FL,79876,Single-Family,1972,2329,470794
10727,36,202 Birch Blvd,Chicago,IL,99247,Single-Family,2000,2337,281459
35708,37,101 Maple Ln,Miami,FL,12627,Single-Family,1996,2038,439859
41784,38,456 Oak Ave,Miami,FL,84971,Condo,2010,3631,798454
47317,39,123 Main St,Texas,TX,58726,Multi-Family,2004,3309,154046
32615,40,101 Maple Ln,Texas,TX,26332,Single-Family,2013,908,294518
3148,41,123 Main St,Chicago,IL,74326,Single-Family,1976,4685,595783
5349,42,123 Main St,Houston,TX,78705,Townhouse,2012,2705,262768
42732,43,101 Maple Ln,Chicago,IL,69606,Multi-Family,1995,2367,427376
44490,44,202 Birch Blvd,Chicago,IL,91491,Multi-Family,1970,2451,309425
5812,45,123 Main St,Miami,FL,87918,Multi-Family,2015,4781,687179
24706,46,456 Oak Ave,Miami,FL,33544,Single-Family,1972,4386,536670
19810,47,101 Maple Ln,Dallas,TX,18685,Multi-Family,2007,3264,502638
20395,48,202 Birch Blvd,Miami,FL,18447,Condo,1970,2792,835995
15772,49,202 Birch Blvd,New York,NY,55331,Townhouse,1956,3094,579232
34012,50,123 Main St,Texas,TX,26731,Single-Family,2007,2702,555191
35709,51,101 Maple Ln,Los Angeles,CA,71386,Condo,2008,4586,265999
45076,52,456 Oak Ave,Miami,FL,18013,Single-Family,2018,2693,483230
4987,53,101 Maple Ln,Houston,TX,49280,Townhouse,1957,4459,401367
34550,54,101 Maple Ln,Texas,TX,62058,Multi-Family,2003,3884,553528
47094,55,101 Maple Ln,Texas,TX,14326,Single-Family,1996,2562,479939
18705,56,123 Main St,Houston,TX,11637,Multi-Family,1978,2956,744770
5070,57,123 Main St,Los Angeles,CA,93088,Townhouse,1980,4839,812908
32380,58,202 Birch Blvd,Texas,TX,45026,Single-Family,1957,4271,468281
36179,59,456 Oak Ave,Miami,FL,69793,Single-Family,1976,4494,766146
13152,60,456 Oak Ave,Miami,FL,54522,Condo,1998,4542,193691
10457,61,101 Maple Ln,Chicago,IL,42922,Single-Family,1983,2958,864747
15088,62,202 Birch Blvd,New York,NY,37842,Townhouse,2000,2427,219863
40044,63,123 Main St,New York,NY,73744,Multi-Family,2019,876,383672
43719,64,123 Main St,Los Angeles,CA,19146,Townhouse,2001,4420,400074
27995,65,789 Pine Dr,Miami,FL,80669,Multi-Family,2001,4805,203508
25723,66,101 Maple Ln,Miami,FL,13727,Condo,1963,876,567784
38441,67,123 Main St,Miami,FL,88301,Condo,1967,2723,591110
49601,68,101 Maple Ln,Arlington,TX,82557,Townhouse,2018,2859,600494
18288,69,456 Oak Ave,Miami,FL,38017,Single-Family,2021,3508,889534
40759,70,789 Pine Dr,Miami,FL,50228,Multi-Family,1996,2373,729064
26663,71,202 Birch Blvd,Chicago,IL,73614,Single-Family,1981,2833,524290
3706,72,789 Pine Dr,Los Angeles,CA,83049,Condo,1989,4736,320565
9237,73,123 Main St,Miami,FL,72254,Multi-Family,1992,2027,568117
28178,74,456 Oak Ave,New York,NY,84291,Single-Family,2004,4349,102096
9,75,456 Oak Ave,Chicago,IL,37307,Single-Family,2000,3925,763791
44486,76,123 Main St,Los Angeles,CA,63334,Condo,1951,3744,741812
41227,77,202 Birch Blvd,Chicago,IL,49570,Single-Family,1997,1149,632895
43962,78,789 Pine Dr,Miami,FL,37515,Single-Family,1984,1795,248544
19273,79,789 Pine Dr,Houston,TX,95522,Single-Family,1971,3129,558704
24104,80,456 Oak Ave,Dallas,TX,29639,Multi-Family,1983,3221,592897
32834,81,789 Pine Dr,Texas,TX,61901,Townhouse,2013,2444,186470
3685,82,123 Main St,Miami,FL,30045,Condo,1980,1571,165228
10499,83,456 Oak Ave,New York,NY,71717,Multi-Family,1995,1203,213442
21197,84,123 Main St,Chicago,IL,85633,Single-Family,1980,2323,416492
49402,85,789 Pine Dr,Tampa,FL,81934,Townhouse,1963,2721,852252
7269,86,789 Pine Dr,New York,NY,11754,Single-Family,2003,3863,729400
18823,87,456 Oak Ave,Miami,FL,16927,Single-Family,1951,1264,86719
7750,88,789 Pine Dr,Houston,TX,52744,Single-Family,1979,4760,130288
41141,89,789 Pine Dr,Los Angeles,CA,64090,Single-Family,2003,1215,773292
